"kind","name","file","line","refs"
"qml_function","getBit",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","323",
"qml_function","quadrantMin",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","335",
"qml_function","quadrantMax",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","339",
"qml_function","clampToQuadrant",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","344",
"qml_function","readCurrentPos",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","362",
"qml_function","writeDesiredPos",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","368",
"qml_function","setOutputBit",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","377",
"qml_function","clampMm",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","391",
"qml_function","to16",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","399",
"qml_function","writeVertOffset",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","406",
"qml_function","writeHorizOffset",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","412",
"qml_function","openCStop",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","418",
"qml_function","closeCStop",".\ui_qml\RobotUI\screens\CellStatusScreen_4.qml","461",
"qml_function","_defaultOutNames",".\ui_qml\RobotUI\screens\RobotCommScreen.qml","61",
"qml_function","_defaultInNames",".\ui_qml\RobotUI\screens\RobotCommScreen.qml","66",
"qml_function","_ioFileUrlForRobot",".\ui_qml\RobotUI\screens\RobotCommScreen.qml","72",
"qml_function","loadIoNames",".\ui_qml\RobotUI\screens\RobotCommScreen.qml","79",
"qml_function","bitFromWords",".\ui_qml\RobotUI\screens\RobotCommScreen.qml","119",
"qml_function","refresh",".\ui_qml\RobotUI\screens\RobotCommScreen.qml","128",
"qml_function","onIoUpdated",".\ui_qml\RobotUI\screens\RobotCommScreen.qml","144",
"qml_function","onStateChanged",".\ui_qml\RobotUI\screens\RobotCommScreen.qml","145",
"qml_function","onFaulted",".\ui_qml\RobotUI\screens\RobotCommScreen.qml","146",
"qml_function","onConfigChanged",".\ui_qml\RobotUI\screens\RobotCommScreen.qml","147",
"qml_function","onLogUpdated",".\ui_qml\RobotUI\screens\RobotCommScreen.qml","148",
"qml_function","loadUsers",".\ui_qml\RobotUI\screens\SplashAdminScreen.qml","48",
"qml_function","onUsersChanged",".\ui_qml\RobotUI\screens\SplashAdminScreen.qml","78",
"qml_function","onValueChanged",".\ui_qml\RobotUI\screens\test.qml","156",
"qml_function","inputBitHigh",".\ui_qml\RobotUI\screens\WeldingScreen.qml","54",
"qml_function","setOutputBit",".\ui_qml\RobotUI\screens\WeldingScreen.qml","64",
"qml_function","pulseOutputBitAllConnected",".\ui_qml\RobotUI\screens\WeldingScreen.qml","77",
"qml_function","onDataChanged",".\ui_qml\RobotUI\screens\WeldingScreen.qml","123",
"qml_function","getCurrentDate",".\ui_qml\RobotUI\screens\WeldingScreen.qml","145",
"qml_function","onInWordsChanged",".\ui_qml\RobotUI\screens\WeldingScreen.qml","1296",
"qml_function","generateAlertKeys",".\ui_qml\RobotUI\screens\WeldingScreen.qml","1349",
"qml_function","_alarmCatalogUrl",".\ui_qml\RobotUI\screens\WeldingScreen.qml","1359",
