"Name","Count"
".venv\Lib\site-packages\PySide6\qml\Qt5Compat\GraphicalEffects\DirectionalBlur.qml","1"
".venv\Lib\site-packages\PySide6\qml\Qt5Compat\GraphicalEffects\Blend.qml","1"
".venv\Lib\site-packages\PySide6\qml\Qt5Compat\GraphicalEffects\GaussianBlur.qml","1"
".venv\Lib\site-packages\PySide6\qml\Qt5Compat\GraphicalEffects\RectangularGlow.qml","1"
".venv\Lib\site-packages\PySide6\qml\Qt5Compat\GraphicalEffects\RadialBlur.qml","1"
".\ui_qml\RobotUI\screens\test.qml","1"
".venv\Lib\site-packages\PySide6\qml\QtQuick\Pdf\PdfStyle.qml","1"
".venv\Lib\site-packages\PySide6\qml\QtQuick\VirtualKeyboard\Components\MultiSoundEffect.qml","1"
".venv\Lib\site-packages\PySide6\qml\QtQuick3D\designer\ModelSection.qml","1"
".venv\Lib\site-packages\PySide6\qml\QtQuick\VirtualKeyboard\InputPanel.qml","1"
".venv\Lib\site-packages\PySide6\qml\Qt\labs\StyleKit\ProgressBar.qml","1"
".venv\Lib\site-packages\PySide6\qml\QtQuick\Pdf\+Material\PdfStyle.qml","1"
".venv\Lib\site-packages\PySide6\qml\QtQuick\NativeStyle\util\WindowsFocusFrame.qml","1"
".venv\Lib\site-packages\PySide6\qml\QtQuick\Pdf\+Universal\PdfStyle.qml","1"
".venv\Lib\site-packages\PySide6\qml\Qt\labs\StyleKit\ScrollIndicator.qml","1"
".venv\Lib\site-packages\PySide6\qml\Qt\labs\StyleKit\Style.qml","1"
