"kind","name","file","line","refs"
"def","_get_xz_half",".\robot_ui\scan_plot_item.py","232",
"def","_get_y_half",".\robot_ui\scan_plot_item.py","237",
"def","loadFromProvider",".\robot_ui\scan_plot_item.py","245",
"def","pickPoint",".\robot_ui\scan_plot_item.py","312",
"def","_schedule_update",".\robot_ui\scan_plot_item.py","356",
"def","_on_render_tick",".\robot_ui\scan_plot_item.py","366",
"def","_on_quality_tick",".\robot_ui\scan_plot_item.py","371",
"def","_render_plot",".\robot_ui\scan_plot_item.py","379",
"def","paint",".\robot_ui\scan_plot_item.py","528",
"def","hash_passcode",".\robot_ui\security.py","5",
"def","verify_passcode",".\robot_ui\security.py","16",
"def","_get_log_md_path",".\robot_ui\storage_log.py","9",
"def","_append_to_md",".\robot_ui\storage_log.py","17",
"def","ensure_log_file",".\robot_ui\storage_log.py","38",
"def","append_log",".\robot_ui\storage_log.py","43",
"def","sync_md_from_jsonl",".\robot_ui\storage_log.py","55",
"def","tail_log",".\robot_ui\storage_log.py","83",
"def","ensure_signal_names_file",".\robot_ui\storage_signals.py","5",
"def","load_signal_names",".\robot_ui\storage_signals.py","19",
"def","get_name",".\robot_ui\storage_signals.py","22",
"def","_default_users",".\robot_ui\storage_users.py","6",
"def","ensure_users_file",".\robot_ui\storage_users.py","16",
"def","load_users",".\robot_ui\storage_users.py","28",
"def","list_usernames",".\robot_ui\storage_users.py","31",
"def","get_user_record",".\robot_ui\storage_users.py","35",
"def","upsert_user",".\robot_ui\storage_users.py","42",
"def","delete_user",".\robot_ui\storage_users.py","58",
"class","UserManager",".\robot_ui\user_manager.py","13",
"def","__init__",".\robot_ui\user_manager.py","16",
"def","load_users",".\robot_ui\user_manager.py","21",
"def","save_users",".\robot_ui\user_manager.py","34",
"def","get_all_users",".\robot_ui\user_manager.py","44",
"def","get_user_by_username",".\robot_ui\user_manager.py","48",
"def","add_user",".\robot_ui\user_manager.py","55",
"def","delete_user",".\robot_ui\user_manager.py","105",
"def","update_user",".\robot_ui\user_manager.py","115",
"def","_map_role_to_int",".\robot_ui\user_manager.py","171",
"class","UserService",".\robot_ui\user_service.py","12",
"def","__init__",".\robot_ui\user_service.py","20",
"def","getAllUsers",".\robot_ui\user_service.py","25",
"def","getUserByUsername",".\robot_ui\user_service.py","34",
"def","addUser",".\robot_ui\user_service.py","48",
"def","deleteUser",".\robot_ui\user_service.py","57",
"def","updateUser",".\robot_ui\user_service.py","66",
"class","WeldRecordService",".\robot_ui\weld_record_service.py","7",
"def","__init__",".\robot_ui\weld_record_service.py","33",
"def","saveWeldRecord",".\robot_ui\weld_record_service.py","46",
"def","_get_pdfplumber",".\robot_ui\wsm_service.py","45",
"def","_project_root",".\robot_ui\wsm_service.py","62",
"def","_default_wsm_folder",".\robot_ui\wsm_service.py","67",
"def","_settings_path",".\robot_ui\wsm_service.py","75",
"def","_save_folder_setting",".\robot_ui\wsm_service.py","80",
"def","_load_folder_setting",".\robot_ui\wsm_service.py","87",
"def","_find_latest_pdf",".\robot_ui\wsm_service.py","101",
"def","_fmt_inches",".\robot_ui\wsm_service.py","113",
"def","_parse_essential_variables",".\robot_ui\wsm_service.py","119",
"class","WsmService",".\robot_ui\wsm_service.py","245",
"def","__init__",".\robot_ui\wsm_service.py","259",
"def","setFolder",".\robot_ui\wsm_service.py","270",
"def","_get_folder",".\robot_ui\wsm_service.py","280",
"def","_get_pdf_name",".\robot_ui\wsm_service.py","286",
"def","reload",".\robot_ui\wsm_service.py","293",
"def","_reload",".\robot_ui\wsm_service.py","297",
"def","_val",".\robot_ui\wsm_service.py","319",
"def","_val1",".\robot_ui\wsm_service.py","325",
"def","_val2",".\robot_ui\wsm_service.py","328",
"def","_get_pipeDiameter1",".\robot_ui\wsm_service.py","333",
"def","_get_wallThickness1",".\robot_ui\wsm_service.py","334",
"def","_get_bevelPrep1",".\robot_ui\wsm_service.py","335",
"def","_get_preHeatTemp1",".\robot_ui\wsm_service.py","336",
"def","_get_wireType1",".\robot_ui\wsm_service.py","337",
"def","_get_wireDiameter1",".\robot_ui\wsm_service.py","338",
"def","_get_wireBrand1",".\robot_ui\wsm_service.py","339",
"def","_get_shieldGas1",".\robot_ui\wsm_service.py","340",
"def","_get_pipeDiameter2",".\robot_ui\wsm_service.py","343",
"def","_get_wallThickness2",".\robot_ui\wsm_service.py","344",
"def","_get_bevelPrep2",".\robot_ui\wsm_service.py","345",
"def","_get_preHeatTemp2",".\robot_ui\wsm_service.py","346",
"def","_get_wireType2",".\robot_ui\wsm_service.py","347",
"def","_get_wireDiameter2",".\robot_ui\wsm_service.py","348",
"def","_get_wireBrand2",".\robot_ui\wsm_service.py","349",
"def","_get_shieldGas2",".\robot_ui\wsm_service.py","350",
"def","openPdf",".\robot_ui\wsm_service.py","370",
"def","essentialVariables",".\robot_ui\wsm_service.py","391",
"def","main",".\test.py","9",
"def","check",".\Testing\test_bit6_bit18_e2e.py","28",
"def","set_bit",".\Testing\test_bit6_bit18_e2e.py","40",
"def","decompose_bit",".\Testing\test_bit6_bit18_e2e.py","45",
"def","read_input_bit",".\Testing\test_bit6_bit18_e2e.py","51",
"def","pulse_cmd_bit",".\Testing\test_bit6_bit18_e2e.py","60",
"def","cycle_start_logic",".\Testing\test_bit6_bit18_e2e.py","72",
"def","_handler",".\Testing\test_cstop_offsets.py","39",
"def","check",".\Testing\test_cstop_offsets.py","75",
"def","invoke",".\Testing\test_cstop_offsets.py","82",
"def","word",".\Testing\test_cstop_offsets.py","87",
"def","check",".\Testing\test_cstop_sequence.py","23",
"def","extract_timer_body",".\Testing\test_cstop_sequence.py","30",
"def","check",".\Testing\test_cstop_window_size.py","29",
"def","block_from",".\Testing\test_cstop_window_size.py","36",
"def","_handler",".\Testing\test_di21_reset.py","37",
"def","check",".\Testing\test_di21_reset.py","73",
"def","_handler",".\Testing\test_full_bitmap.py","34",
"def","check",".\Testing\test_full_bitmap.py","70",
"def","_handler",".\Testing\test_pass_num.py","33",
"def","check",".\Testing\test_pass_num.py","69",
"def","read_pass_num_from_bridge",".\Testing\test_pass_num.py","76",
"def","test_uses_project_root_robot_comm_config_when_cwd_is_ui_qml",".\Testing\test_robot_comm_config_path.py","14",
"def","panel_info",".\Testing\test_robot_quadrants.py","16",
"def","_handler",".\Testing\test_robot_sim_panel_loads.py","32",
"def","finish",".\Testing\test_robot_sim_panel_loads.py","89",
"def","check",".\Testing\test_robot_state_display.py","25",
"def","set_bit",".\Testing\test_robot_state_display.py","34",
"def","decompose_bit",".\Testing\test_robot_state_display.py","38",
"def","robot_status",".\Testing\test_robot_state_display.py","43",
"def","sidebar_robot_state",".\Testing\test_robot_state_display.py","51",
"def","cycle_start_bit",".\Testing\test_robot_state_display.py","103",
"def","test_refresh_from_robot_fetches_and_loads_xml",".\Testing\test_scan_data_provider_fetch.py","15",
"def","assert_contains",".\Testing\test_sidebar_cycle_start_bit.py","17",
"def","bit",".\Testing\test_sidebar_cycle_start_bit.py","61",
"def","cycle_start_bit",".\Testing\test_sidebar_cycle_start_bit.py","64",
"def","decompose_bit",".\Testing\test_sidebar_cycle_start_bit.py","93",
"class","PermissionChecker",".\ui_qml\main.py","41",
"def","canAccessPage",".\ui_qml\main.py","45",
"def","_runtime_root",".\ui_qml\main.py","54",
"def","find_base_dir",".\ui_qml\main.py","59",
"def","main",".\ui_qml\main.py","66",
"def","find_base_dir",".\ui_qml\Plot_Points.py","23",
"def","load_xml_points",".\ui_qml\Plot_Points.py","30",
"def","load_offsets_xml",".\ui_qml\Plot_Points.py","67",
"def","draw_nominal_cylinder_yaxis",".\ui_qml\Plot_Points.py","122",
"def","main",".\ui_qml\Plot_Points.py","147",
"def","apply_limits",".\ui_qml\Plot_Points.py","276",
"def","update_cylinder",".\ui_qml\Plot_Points.py","287",
"def","on_scroll",".\ui_qml\Plot_Points.py","304",
"def","set_view",".\ui_qml\Plot_Points.py","337",
"def","on_top",".\ui_qml\Plot_Points.py","341",
"def","on_side",".\ui_qml\Plot_Points.py","344",
"def","on_front",".\ui_qml\Plot_Points.py","347",
"def","on_iso",".\ui_qml\Plot_Points.py","353",
"def","on_y_scale",".\ui_qml\Plot_Points.py","370",
"def","on_cyl_diam",".\ui_qml\Plot_Points.py","387",
"def","on_cyl_alpha",".\ui_qml\Plot_Points.py","401",
"def","on_pick",".\ui_qml\Plot_Points.py","419",
"def","find_base_dir",".\ui_qml\Plot_to_image.py","25",
"def","load_xml_points",".\ui_qml\Plot_to_image.py","31",
"def","load_offsets_xml",".\ui_qml\Plot_to_image.py","52",
"def","draw_nominal_cylinder_yaxis",".\ui_qml\Plot_to_image.py","76",
"def","render_plot",".\ui_qml\Plot_to_image.py","92",
"def","_hexdump",".\ui_qml\robot_comm\fanuc_eip_driver.py","12",
"class","FanucEipDriver",".\ui_qml\robot_comm\fanuc_eip_driver.py","22",
"def","__init__",".\ui_qml\robot_comm\fanuc_eip_driver.py","23",
"def","_dbg",".\ui_qml\robot_comm\fanuc_eip_driver.py","53",
"def","get_debug_log",".\ui_qml\robot_comm\fanuc_eip_driver.py","63",
"def","clear_debug_log",".\ui_qml\robot_comm\fanuc_eip_driver.py","67",
"def","get_state",".\ui_qml\robot_comm\fanuc_eip_driver.py","72",
"def","get_fault",".\ui_qml\robot_comm\fanuc_eip_driver.py","73",
"def","get_last_rx_ms",".\ui_qml\robot_comm\fanuc_eip_driver.py","74",
"def","get_udp_counts",".\ui_qml\robot_comm\fanuc_eip_driver.py","79",
"def","get_inputs",".\ui_qml\robot_comm\fanuc_eip_driver.py","82",
"def","get_outputs",".\ui_qml\robot_comm\fanuc_eip_driver.py","86",
"def","configure",".\ui_qml\robot_comm\fanuc_eip_driver.py","91",
"def","start",".\ui_qml\robot_comm\fanuc_eip_driver.py","102",
"def","stop",".\ui_qml\robot_comm\fanuc_eip_driver.py","112",
"def","_encap_header",".\ui_qml\robot_comm\fanuc_eip_driver.py","126",
"def","_build_list_services",".\ui_qml\robot_comm\fanuc_eip_driver.py","129",
"def","_register_session",".\ui_qml\robot_comm\fanuc_eip_driver.py","139",
"def","_build_forward_open",".\ui_qml\robot_comm\fanuc_eip_driver.py","150",
"def","_extract_multicast_info",".\ui_qml\robot_comm\fanuc_eip_driver.py","191",
"def","_do_tcp_connect",".\ui_qml\robot_comm\fanuc_eip_driver.py","230",
"def","_process_io_data",".\ui_qml\robot_comm\fanuc_eip_driver.py","247",
"def","_udp_sender_loop",".\ui_qml\robot_comm\fanuc_eip_driver.py","268",
"def","_listen_loop",".\ui_qml\robot_comm\fanuc_eip_driver.py","292",
"def","_udp_watchdog",".\ui_qml\robot_comm\fanuc_eip_driver.py","315",
"def","_start_udp",".\ui_qml\robot_comm\fanuc_eip_driver.py","326",
"def","_worker",".\ui_qml\robot_comm\fanuc_eip_driver.py","348",
